,AAAU,SPY,ISF.L,ESS,EEM,FXE,BofA
2019-01-02,13.05,229.104202,663.974731,196.631012,34.699383,105.157822,1234.57
2019-01-03,12.93,223.637115,659.584229,197.669922,34.070259,105.613594,1236.01
2019-01-04,12.84,231.128067,673.15509,198.05217,35.169006,105.632988,1249.58
2019-01-07,12.88,232.950378,671.259399,198.874985,35.248764,106.331192,1259.24
2019-01-08,12.85,235.139038,676.048828,203.845016,35.38168,106.001457,1265.77
2019-01-09,12.92,236.237976,681.137817,203.670456,36.010803,107.068169,1272.28
2019-01-10,12.86,237.07132,684.530701,206.679062,36.267773,106.563934,1271.92
2019-01-11,12.87,237.162888,682.135681,207.302399,36.090557,106.205109,1273.11
2019-01-14,12.91,235.715973,675.450195,206.853607,35.789284,106.243904,1270.99
2019-01-15,12.88,238.41748,679.94043,209.936996,36.037388,105.749344,1273.16
2019-01-16,12.93,238.99437,676.947021,213.311295,36.480434,105.526306,1277.07
2019-01-17,12.92,240.807571,674.452332,214.57457,36.639927,105.516602,1277.84
2019-01-18,12.81,244.012726,687.125183,216.028992,36.817146,105.293587,1281.96
2019-01-22,12.84,240.716003,680.938477,217.142654,36.179165,105.157822,1279.59
2019-01-23,12.83,241.219742,674.851563,217.58313,36.551319,105.41964,1279.26
2019-01-24,12.8,241.3479,672.356873,217.416946,36.905758,104.750542,1278.61
2019-01-25,12.99,243.390045,671.558533,218.430893,37.393108,105.720268,1281.78
2019-01-28,13.03,241.540207,665.371887,221.472717,37.00322,105.856026,1279.72
2019-01-29,13.11,241.219742,673.454468,223.492294,37.065258,105.894814,1281.64
2019-01-30,13.17,245.038406,684.929993,225.237625,37.871605,106.31179,1284.64
2019-01-31,13.19,247.190399,687.324585,225.395554,38.190594,106.001457,1290.27
2019-02-01,13.17,247.309418,692.114441,224.473038,37.889324,106.108185,1291.82
2019-02-04,13.12,249.049377,694.210022,228.296097,37.951347,105.875412,1293.26
2019-02-05,13.14,250.093369,707.780762,230.14946,38.47414,105.720268,1298.33
2019-02-06,13.06,249.763657,707.182129,228.977631,37.951347,105.274193,1299.6
2019-02-07,13.09,247.382751,699.398865,230.598251,37.570335,105.01236,1294.88
2019-02-08,13.14,247.684921,697.303223,231.105255,37.35767,104.818405,1293.88
2019-02-11,13.08,247.822342,703.190674,231.595627,37.233612,104.411133,1294.84
2019-02-12,13.1,251.00914,703.090759,229.866867,37.543743,104.915382,1298.91
2019-02-13,13.05,251.824097,708.479431,231.071945,37.277912,104.294754,1299.52
2019-02-14,13.12,251.265518,711.372925,230.922363,37.348801,104.537193,1299.49
2019-02-15,13.2,254.003662,715.065125,231.7285,37.295639,104.614777,1301.76
2019-02-19,13.4,254.443298,709.477112,232.908676,37.588039,105.01236,1303.05
2019-02-20,13.38,254.9561,714.765747,230.041412,37.800709,104.99295,1304.94
2019-02-21,13.23,254.049484,710.973816,232.717621,37.720963,104.95417,1305.15
2019-02-22,13.28,255.624573,711.871887,233.931,38.137421,104.905685,1306.31
2019-02-25,13.26,255.972595,712.370911,232.202332,38.562748,105.157822,1308.58
2019-02-26,13.28,255.789429,708.579224,232.742538,38.429832,105.41964,1309.74
2019-02-27,13.19,255.679489,704.188721,232.576324,38.101986,105.23539,1311.22
2019-02-28,13.12,255.203339,701.993225,232.576324,37.60577,105.274193,1312.05
2019-03-01,12.89,256.796753,704.487854,231.952927,37.650078,105.177208,1312.64
2019-03-04,12.86,255.862625,707.281921,234.396393,37.703239,104.95417,1312.67
2019-03-05,12.87,255.514572,712.171387,233.822906,38.075405,104.857185,1312.17
2019-03-06,12.86,253.96701,713.668152,233.8479,37.862732,104.672951,1310.8
2019-03-07,12.85,251.842545,711.173645,234.612488,37.16272,103.470474,1308.56
2019-03-08,13.0,251.338791,706.184082,235.618179,36.896896,103.926262,1305.55
2019-03-11,12.93,254.98349,708.379517,237.471527,37.588039,104.091118,1307.98
2019-03-12,13.01,255.945084,710.874084,238.518692,37.78299,104.517792,1310.88
2019-03-13,13.09,257.639252,711.672485,240.363754,37.827297,104.87661,1313.94
2019-03-14,12.95,257.474365,708.150757,241.793198,37.623493,104.595352,1315.0
2019-03-15,13.01,258.746429,711.344116,240.521576,38.172874,104.769905,1316.02
2019-03-18,13.02,259.684601,718.729248,237.903656,38.598194,104.934776,1316.75
2019-03-19,13.06,259.749054,720.924744,237.471527,38.615921,105.080246,1318.15
2019-03-20,13.12,258.967194,718.130249,237.080887,38.67794,105.778442,1318.71
2019-03-21,13.08,261.892151,725.315613,240.604752,38.731113,105.167526,1321.34
2019-03-22,13.12,256.851685,709.348389,241.610367,37.596912,104.508095,1319.39
2019-03-25,13.21,256.658539,706.953247,240.081146,37.68552,104.663254,1318.28
2019-03-26,13.15,258.571716,708.849426,243.397263,37.800709,104.246269,1320.82
2019-03-27,13.08,257.219574,707.85144,242.291885,37.393108,104.05233,1321.17
2019-03-28,12.9,258.194611,712.940979,242.785538,37.641216,103.809891,1321.78
2019-03-29,12.91,259.822632,717.531677,242.007416,38.031094,103.780777,1324.68
2019-04-01,12.86,262.903931,721.623291,241.195816,38.660225,103.68383,1327.39
2019-04-02,12.9,263.032684,728.608826,244.099091,38.536167,103.615944,1327.8
2019-04-03,12.89,263.446594,731.203613,242.710251,38.801994,103.96505,1329.54
2019-04-04,12.91,264.14563,731.203613,240.785812,39.041237,103.829285,1329.74
2019-04-05,12.91,265.424164,735.295288,242.099426,39.34251,103.761414,1331.82
2019-04-08,12.96,265.626465,735.295288,240.551575,39.34251,104.178406,1333.03
2019-04-09,13.03,264.265259,733.399231,240.518082,39.262768,104.168671,1333.2
2019-04-10,13.07,265.166656,733.399231,241.555588,39.448841,104.246269,1334.27
2019-04-11,12.91,265.092987,733.199524,242.492691,39.023521,104.129913,1336.72
2019-04-12,12.89,266.886536,735.095764,242.777145,39.307064,104.45961,1339.39
2019-04-15,12.86,266.711823,735.195618,241.555588,39.103271,104.517792,1339.62
2019-04-16,12.75,266.886536,738.089722,233.021225,39.395679,104.323853,1340.57
2019-04-17,12.72,266.233643,738.089722,229.783188,39.510868,104.449905,1339.76
2019-04-18,12.74,266.757813,738.189453,232.845612,39.484295,103.819572,1339.12
2019-04-23,12.71,269.388458,743.877747,231.682495,39.315929,103.761414,1340.68
2019-04-24,12.74,268.790558,739.287109,233.155136,38.784271,103.111671,1341.98
2019-04-25,12.76,268.625,736.293213,232.88739,38.731113,102.927444,1341.05
2019-04-26,12.85,269.875946,734.896057,235.472794,38.881741,103.034103,1341.56
2019-04-29,12.78,270.299011,737.091675,232.310028,38.961491,103.3638,1342.77
2019-04-30,12.83,270.436981,735.39502,236.368088,38.926044,103.654739,1343.45
2019-05-01,12.75,268.404236,731.802368,237.355347,38.63364,103.460785,1344.07
2019-05-02,12.7,267.824829,728.509277,236.836609,38.722248,103.257133,1341.65
