,BAMLHYH0A0HYM2TRIV,^BSESN,China_EQ,ISF.L,ESS,^GSPC,GOLD.AX
2009-01-05,444.35,10275.599609,1880.715942,458.219208,44.515766,927.450012,120.639999
2009-01-06,456.71,10335.929688,1937.14502,463.445953,45.38443,934.700012,118.199997
2009-01-07,461.44,9586.879883,1924.011963,449.507782,44.474117,906.650024,117.660004
2009-01-09,461.02,9406.469727,1904.860962,444.778748,40.642487,890.349976,119.599998
2009-01-12,462.71,9110.049805,1900.347046,441.792023,37.548641,870.26001,121.029999
2009-01-13,461.08,9071.360352,1863.366943,439.054108,39.083687,871.789978,119.980003
2009-01-14,457.66,9370.490234,1928.869019,417.648895,38.125771,842.619995,120.900002
2009-01-15,455.0,9046.740234,1920.206055,412.173401,40.428299,843.73999,121.449997
2009-01-16,456.75,9323.589844,1954.437988,414.911102,42.338177,850.119995,120.330002
2009-01-20,456.89,9100.549805,1994.107056,408.439758,39.101536,805.219971,123.620003
2009-01-21,455.38,8779.169922,1985.015991,406.697479,41.612305,840.23999,128.059998
2009-01-22,455.14,8813.839844,2004.95105,406.199615,38.970638,827.5,127.239998
2009-01-23,454.1,8674.349609,1990.656982,404.70636,39.863083,831.950012,129.070007
2009-02-02,457.89,9066.700195,2011.682983,408.190887,38.95277,825.440002,142.979996
2009-02-03,457.89,9149.299805,2060.808105,416.155609,37.5308,838.51001,138.779999
2009-02-04,459.54,9201.849609,2107.749023,424.120239,36.73354,832.22998,136.300003
2009-02-05,460.86,9090.879883,2098.018066,424.36911,33.401703,845.849976,138.460007
2009-02-06,461.28,9300.860352,2181.239014,430.591522,35.091419,868.599976,137.910004
2009-02-09,462.61,9583.889648,2224.714111,432.333862,36.572887,869.890015,134.110001
2009-02-10,464.22,9647.469727,2265.160889,423.124603,34.436951,827.159973,132.960007
2009-02-11,463.6,9618.540039,2260.820068,424.36911,35.043823,833.73999,137.720001
2009-02-12,462.17,9465.830078,2248.091064,421.382446,33.949078,835.190002,141.460007
2009-02-13,461.03,9634.740234,2320.791992,419.640076,32.485443,826.840027,140.910004
2009-02-17,458.71,9035.0,2319.440918,404.208649,31.033712,789.169983,146.229996
2009-02-18,455.31,9015.179688,2209.862061,403.213013,31.384754,788.419983,149.520004
2009-02-19,455.39,9042.629883,2227.125,404.70636,30.432779,778.940002,149.970001
2009-02-20,452.21,8843.209961,2261.478027,390.768188,32.824562,770.049988,149.009995
2009-02-24,445.58,8822.05957,2200.654053,384.545654,33.490955,773.140015,150.020004
2009-02-25,444.18,8902.55957,2206.573975,383.798981,33.371956,764.900024,145.699997
2009-02-26,443.96,8954.860352,2121.250977,390.270294,32.098705,752.830017,143.699997
2009-02-27,441.62,8891.610352,2082.852051,382.056641,32.366444,735.090027,142.25
2009-03-02,437.75,8607.080078,2093.447021,362.14505,30.200741,700.820007,148.350006
2009-03-03,433.87,8427.290039,2071.430908,350.695679,31.997568,696.330017,141.850006
2009-03-04,430.24,8446.490234,2198.106934,364.38504,33.609932,712.869995,141.220001
2009-03-05,428.58,8197.919922,2221.075928,353.184662,32.372391,682.549988,139.289993
2009-03-06,427.41,8325.820313,2193.00708,351.940186,32.836468,683.380005,143.100006
2009-03-09,424.72,8160.399902,2118.748047,351.940186,33.508804,676.530029,144.089996
2009-03-12,432.54,8343.75,2133.881104,371.105225,39.666748,750.73999,138.479996
2009-03-13,436.41,8756.610352,2128.8479,375.336456,39.125332,756.549988,139.699997
2009-03-16,440.24,8943.540039,2153.291016,385.790131,36.317066,753.890015,138.550003
2009-03-17,440.57,8863.820313,2218.325928,385.292389,39.3633,778.119995,136.699997
2009-03-18,441.09,8976.679688,2223.725098,380.563263,39.589382,794.349976,135.600006
2009-03-19,443.6,9001.75,2265.759033,380.563263,36.590744,784.039978,135.070007
2009-03-20,444.28,8966.679688,2281.086914,384.794525,33.639694,768.539978,137.419998
2009-03-23,447.51,9424.019531,2325.47998,395.447357,38.619598,822.919983,137.440002
2009-03-24,449.44,9471.040039,2338.419922,391.763641,35.847034,806.119995,131.800003
2009-03-25,451.47,9667.900391,2291.554932,390.270294,36.281349,813.880005,131.949997
2009-03-26,455.83,10003.099609,2361.704102,393.256989,36.436062,832.859985,131.509995
2009-03-27,457.88,10048.490234,2374.437988,389.872162,34.941322,815.940002,131.429993
2009-03-30,456.62,9568.139648,2358.040039,376.332031,33.192448,787.530029,133.490005
2009-03-31,456.69,9708.5,2373.212891,392.161804,34.699265,797.869995,131.199997
2009-04-01,455.81,9901.990234,2408.01709,395.347778,35.389137,811.080017,131.179993
2009-04-02,460.09,10348.830078,2425.291016,410.779388,38.693256,834.380005,129.669998
2009-04-08,467.27,10742.339844,2347.38501,391.664032,38.535912,825.159973,123.919998
2009-04-09,470.09,10803.860352,2379.875977,397.538055,42.360458,856.559998,122.150002
2009-04-15,479.61,11284.730469,2536.055908,396.343262,39.655445,852.059998,122.099998
2009-04-16,483.53,10947.400391,2534.134033,404.70636,40.714458,865.299988,121.0
2009-04-17,489.3,11023.089844,2503.935059,408.589264,40.56316,869.599976,119.739998
2009-04-20,489.63,10979.5,2557.456055,397.538055,36.847549,832.390015,118.790001
2009-04-21,485.57,10898.110352,2535.827881,397.637634,39.153164,850.080017,124.580002
2009-04-22,486.48,10817.540039,2461.345947,402.515961,38.094166,843.549988,123.900002
2009-04-23,488.76,11134.990234,2463.954102,401.321411,39.122917,851.919983,123.610001
2009-04-24,492.77,11329.049805,2448.594971,414.562592,40.974663,866.22998,125.720001
2009-04-27,494.39,11371.849609,2405.3479,415.558258,38.209141,857.51001,126.32
2009-04-28,495.61,11001.75,2401.437988,409.385529,38.372532,855.159973,125.790001
2009-04-29,500.93,11403.25,2468.191895,418.943085,40.557117,873.640015,123.440002
2009-05-05,517.51,12131.080078,2567.336914,432.881409,38.475403,903.799988,119.839996
2009-05-06,520.88,11952.75,2592.52002,440.049652,40.944412,919.530029,120.349998
2009-05-07,527.56,12116.94043,2597.447021,440.746582,38.89901,907.390015,119.300003
2009-05-08,531.17,11876.429688,2625.64502,446.122772,40.944412,929.22998,119.190002
2009-05-11,530.87,11682.990234,2579.74707,443.832916,39.340767,909.23999,117.209999
2009-05-12,529.97,12158.030273,2618.172119,443.03656,39.516262,908.349976,117.599998
2009-05-13,527.98,12019.650391,2663.766113,434.275299,37.549526,883.919983,118.099998
2009-05-14,525.42,11872.910156,2639.886963,437.759857,38.548027,893.070007,120.75
2009-05-15,525.19,12173.419922,2645.262939,437.361725,37.785534,882.880005,119.959999
2009-05-18,525.82,14284.209961,2652.779053,446.620605,39.867249,909.710022,122.0
2009-05-19,528.64,14302.030273,2676.681885,450.105042,38.541969,908.130005,118.529999
2009-05-20,534.08,14060.660156,2651.414063,450.105042,38.057842,903.469971,118.589996
2009-05-21,535.18,13736.540039,2610.62207,437.759857,38.463287,888.330017,119.410004
2009-05-22,537.0,13887.150391,2597.601074,439.352783,37.688713,887.0,120.230003
2009-05-26,538.23,13589.230469,2588.574951,443.633698,40.296898,910.330017,120.199997
2009-05-27,540.34,14109.639648,2632.929932,439.352783,39.183426,893.059998,118.959999
2009-06-01,547.73,14840.629883,2721.280029,448.512268,41.894501,942.869995,120.150002
2009-06-02,552.56,14874.910156,2724.302002,445.425781,41.222775,944.73999,118.5
2009-06-03,554.57,14870.900391,2778.589111,438.058502,41.894501,931.76001,117.639999
2009-06-04,556.01,15008.679688,2767.243896,438.556305,41.670578,942.460022,118.989998
2009-06-05,557.51,15103.549805,2753.891113,443.135925,41.186474,940.090027,119.599998
2009-06-09,560.99,15127.0,2787.886963,440.149323,40.472397,942.429993,118.519997
